title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Josh Manson	Joshua David Manson	, Illinois	2014		160th overall	2011	Anaheim Ducks	National Hockey League		Colorado Avalanche	Canadian		
Kelly Davis	Kelly Davis	Grande Prairie, Alberta, Canada	1978	1983	101st overall	1978	New York Islanders				Canadian		
Michel DeGuise	Michel DeGuise	, Sorel-Tracy	1971	1977	24th overall	1971	Montreal Canadiens				Canadian		
Dave Dornseif	Dave Dornseif	, Minnesota	1978	1980	124th overall	1976	St. Louis Blues				American		
Gustav Olofsson	Gustav Olofsson	Borås, Sweden	2014		46th overall	2013	Minnesota Wild	American Hockey League		Coachella Valley Firebirds	Swedish		
Floyd Lahache	Floyd Lahache	Kahnawake, Canada	1977	1984	114th overall	1977	Chicago Blackhawks				Canadian		
Bill Laing	Bill Laing	Harris, Saskatchewan, Canada	1973	1976	72nd overall	1973	St. Louis Blues				Canadian		
Ted Long (ice hockey)	Edward	Woodstock, Ontario, Canada	1976	1980	78th overall	1975	Toronto Maple Leafs				Canadian		
Blair Davidson	Blair Murray Davidson	Cartwright, Manitoba, Canada	1975	1980	45th overall	1975	Detroit Red Wings				Canadian		
Bill Davis (ice hockey)	William Lloyd Davis	, Ontario	1977	1981	216th overall	1974	Pittsburgh Penguins				Canadian		
Jeff Turcotte	[[ECHL]]	Montreal, Canada	1990	1991							Canadian		
Tim Armstrong (ice hockey)	Timothy S. Armstrong	, Toronto	1987	1991	211th overall	1985	Toronto Maple Leafs				Canadian		
Marty Dallman	Marty Dallman	Niagara Falls, Ontario, Canada	1984	1999	81st overall	1981	Los Angeles Kings		Austria		Canadian		
Alexis Lafrenière	Alexis Lafrenière	, Quebec	2021		1st overall	2020	New York Rangers	National Hockey League	&lt;!--Senior games only--&gt;	New York Rangers	Canadian		
Shane Gersich	Shane Gersich	Chaska, Minnesota, U.S.	2018		134th overall	2014	Washington Capitals	&lt;!--Deutsche Eishockey Liga		Free agent	American		
Noah Dobson	Noah Dobson	, Prince Edward Island	2019		12th overall	2018	New York Islanders	National Hockey League	CAN	Montreal Canadiens	Canadian		
Zach Whitecloud	Zach Whitecloud	Brandon, Manitoba, Canada	2018		Undrafted			National Hockey League	CAN	Vegas Golden Knights	Canadian		
William Wallinder	William Wallinder	Sollefteå, Sweden	2019		32nd overall	2020	Detroit Red Wings	National Hockey League		Detroit Red Wings	Swedish		
JJ Peterka	John-Jason	Munich, Germany	2019		34th overall	2020	Buffalo Sabres	National Hockey League	GER	Utah Mammoth	German		
Chris Terry (ice hockey)	Chris Terry	, Brampton	2008		132nd overall	2007	Carolina Hurricanes	American Hockey League		Bridgeport Islanders	Canadian		
Justin DiBenedetto	Justin DiBenedetto	, Ontario	2009	2015	175th overall	2008	New York Islanders				Canadian		
András Ádám-Stolpa	András Ádám-Stolpa	,											
Masi Marjamäki	Masi Marjamäki	Pori, Finland	2005	2020	66th overall, [[2003 NHL Entry Draft	2005	New York Islanders				Finnish		
David Moss (ice hockey)	David Moss	, Michigan	2005	2016	220th overall	2001	Calgary Flames	National League A	USA		American		
Sylvain Côté	Sylvain Côté	Quebec City, Canada	1982	2003	11th overall	1984	Hartford Whalers	National Hockey League	Canada		Canadian		
Brent Krahn	Brent Krahn	Winnipeg, Canada	2003	2011	9th overall	2000	Calgary Flames	American Hockey League			Canadian		
Shawn Simpson	[[American Hockey League|AHL]]	Vancouver, Canada	1988	1991	60th overall	1986	Washington Capitals		CAN				
Larry Archambeault	Larry Andrew Archambeault	, Quebec	1938	1953									
William Duval (ice hockey)	William James &quot;Peg&quot; Duval	, Ottawa	1899	1905									
Teiji Honma	Teiji Honma	, Yamagata	1936	1936					JPN				
Nick Perbix	Nicklaus Perbix	, Minnesota	2022		169th overall	2017	Tampa Bay Lightning	National Hockey League	USA	Nashville Predators	American		
Brock Faber	Brock Faber	Maple Grove, Minnesota, U.S.	2022		45th overall	2020	Los Angeles Kings	National Hockey League	USA	Minnesota Wild	American		
John Utendale	John Frederick Utendale												
Marc McLaughlin	Marc McLaughlin	North Billerica, Massachusetts, U.S.	2022		Undrafted			National Hockey League	USA	New Jersey Devils	American		
Matthew Knies	"Matthew Michael Knies&lt;ref&gt;{{Cite tweet |user=mapleleafs|number=1965412014450471232|title=Swedish Matthew Knies 😂
}}&lt;/ref&gt;"	Phoenix, Arizona, U.S.	2023		57th overall	2021	Toronto Maple Leafs	National Hockey League	USA	Toronto Maple Leafs	American		
Sam Hentges (ice hockey)	Samuel Hentges	, Minnesota	2022		210th overall	2018	Minnesota Wild		USA	Free agent	American		
Jonathan Filewich	Jonathan Filewich	Kelowna, Canada	2005	2011	70th overall	2003	Pittsburgh Penguins		CAN		Canadian		
Matt Henderson (ice hockey)	Matt Henderson	, Minnesota	1998	2004	''Undrafted''						American		
Steve Graves	Stephen Graves	Trenton, Ontario, Canada	1980	1993	41st overall	1982	Edmonton Oilers		CAN		Canadian		
Tommy Phillips	Thomas Neil Phillips	, Kenora	1900	1912									
Todd Harkins	Todd Michael Harkins	Cleveland, Ohio, U.S.	1990	2001	42nd overall	1988	Calgary Flames		USA		American		
Mark Benning	Mark Benning	Edmonton, Canada	1987	1989							Canadian		
Teemu Virtala	Teemu Virtala										Finnish		
Kenny Corupe	Jonathan Kenneth Corupe	, Ontario	1999	2015	Undrafted						Canadian		
Tom Cottringer	Tom Cottringer	, Ontario	1972	1973							Canadian		
Wayne Mosdell	Wayne Mosdell	Montreal, Canada	1966	1976							Canadian		
Jack Chipchase	Jack Chipchase	, Ontario	1965	1979							Canadian		
Jamie Bateman	James Bateman	Thetford Mines, Canada	1974	1977	90th overall	1974	Boston Bruins				Canadian		
Wendell Bennett	Wendell James Bennett	, Saskatchewan	1970	1979	39th overall	1970	New York Rangers						
Bob Blanchet	Robert Bertrand &quot;Bob&quot; Blanchet	Authier-Nord, Quebec, Canada	1974	1978	228th overall	1974	Washington Capitals				Canadian		
Bob Boyd (ice hockey)	Robert	Toronto, Canada	1973	1975	100th overall	1971	Detroit Red Wings				Canadian		
Dennis Robertson (ice hockey)	Dennis Robertson	Fort St. John, British Columbia, Canada	2014		173rd overall	2011	Toronto Maple Leafs	ICE Hockey League		EC Red Bull Salzburg	Canadian		
Daniel Carr (ice hockey)	Daniel Carr	Sherwood Park, Canada	2014		Undrafted			American Hockey League	CAN	Milwaukee Admirals	Canadian		
Shayne Gostisbehere	Shayne Gostisbehere	Pembroke Pines, Florida, U.S.	2014		78th overall	2012	Philadelphia Flyers	National Hockey League		Carolina Hurricanes			
Colin Stevens	Colin Stevens	Niskayuna, New York, U.S.	2015	2018	Undrafted						American		
Joakim Ryan	Joakim Ryan	Rumson, New Jersey, U.S.	2015		198th overall	2012	San Jose Sharks	National Hockey League		Free Agent	American		
Jordon Cooke	Jordon Cooke	, Alberta	2010		Undrafted			U Sports		Saskatchewan Huskies	Canadian		
Nicolas Roy	Nicolas Roy	Amos, Quebec, Canada	2016		96th overall	2015	Carolina Hurricanes	National Hockey League	CAN	Toronto Maple Leafs	Canadian		
Brian Bowles (ice hockey)	Brian Earl Bowles	Drummondville, Canada	1972	1976	59th overall	1972	Toronto Maple Leafs						
Duane Bray	Duane George Bray	Flin Flon, Canada	1974	1978	179th overall	1974	Minnesota North Stars						
Brian Bye	Brian Eldon Bye	Brantford, Canada	1974	1978	232nd overall	1974	New York Islanders				Canadian		
Pekka Virta	Pekka Virta	Turku, Finland	1991	2001	Undrafted						Finnish		
Tristan Jarry	Tristan Raymond Jarry										Canadian		
Paul Crowley (ice hockey)	Paul Crowley	Montreal, Canada	1975	1984	166th overall	1975	Toronto Maple Leafs				Canadian		
Mitch Holmberg	Mitch Holmberg	Sherwood Park, Canada	2014	2017	Undrafted						Canadian		
Ashton Sautner	Ashton Sautner	, Flin Flon	2015		Undrafted			American Hockey League		Manitoba Moose	Canadian		
Dominic Zwerger	Dominic Zwerger	Dornbirn, Austria	2017		Undrafted			National League (ice hockey)	Austria	HC Ambrì-Piotta	Austrian		
Ulvis Katlaps	Ulvis Katlaps	Riga, Latvian Soviet Socialist Republic	1985	1996									
Dmitri Lugin	Dmitri Lugin	Khabarovsk, Soviet Union	2008	2022	Undrafted						Russian		
Artyom Chernov	Artyom Sergeyevich Chernov	Novokuznetsk, Soviet Union	1998	2020	162nd overall	2000	Dallas Stars	Kontinental Hockey League		HC Vityaz			
Alexei Krutov	Alexei Vladimirovich Krutov	Moscow, Soviet Union	2002	2017							Russian		
Igor Karpenko	Igor Vasilovich Karpenko	Kiev, Soviet Union	1994	2013	185th overall	1995	Mighty Ducks of Anaheim	Professional Hockey League	Ukraine	Sokil Kyiv	Ukrainian		
Timo Ahmaoja	Timo Ahmaoja	Jyväskylä, Finland	1996	2006	172nd overall	1996	Mighty Ducks of Anaheim				Finnish		
Vladimir Korsunov	Vladimir Korsunov	Odintsovo, Russian Soviet Federative Socialist Republic	2000	2017	105th overall	2001	Mighty Ducks of Anaheim				Russian		
Juha Alén	Juha Alén	Tampere, Finland	2003	2013	90th overall	2003	Mighty Ducks of Anaheim				Finnish		
Martin Šagát	Martin Šagát	Prievidza, Czechoslovak Socialist Republic	2005	2020	91st overall	2003	Toronto Maple Leafs	Metal Ligaen		Herning Blue Fox	Slovak		
Ulyana Voitsik	Ulyana Voitsik	,		2017							Belarusian		f
Austin Farley	Austin James Farley	Park Ridge, Illinois, U.S.	2016		Undrafted			EIHL		Fife Flyers	American		
Andriy Sryubko	Andriy Vasilovich Sryubko	Kyiv, Soviet Union	1996	2013					Ukraine				
Julian Baretta	Julian Baretta	, Alberta	1975	1985	84th overall	1977	Los Angeles Kings				Canadian		
Logan Morrison (ice hockey)	Logan Morrison	Guelph, Ontario, Canada	2023		Undrafted			National Hockey League		Seattle Kraken	Canadian		
Tucker Robertson	Tucker Robertson	Toronto, Ontario, Canada	2023		123rd overall	2022	Seattle Kraken	National Hockey League		Philadelphia Flyers	Canadian		
Jani Nyman	Jani Nyman	Valkeakoski, Finland	2021		49th overall	2022	Seattle Kraken	National Hockey League		Seattle Kraken	Finnish		
Eric LeMarque	Eric LeMarque	Paris, France, France	1990	1999	224th overall	1987	Boston Bruins		FRA		American		
Michał Antuszewicz	Michał “Mandzur” Antuszewicz	Harbin, Qing dynasty	1951	1952					POL				
Marek Batkiewicz	Marek Rafał Batkiewicz	Nowy Targ, Poland	1986	2007					Poland		Polish		
Krzysztof Bujar	Krzysztof Andrzej Bujar	Katowice, Polish People's Republic	1980	1994					POL				
Mirosław Copija	Mirosław Piotr Copija	Bielsko-Biała, Polish People's Republic	1984	2002					Poland				
Jan Hampel	Jan Hampel	Katowice, Second Polish Republic	1951	1965					POL				
Mariusz Kieca	Mariusz Waldemar Kieca	Sosnowiec, Poland	1987	2003					Poland		Polish		
Aleksander Tupalski	Aleksander Tupalski	Gelsenkirchen, German Empire	1926	1937					Poland				
Edward Kocząb	Edward Kocząb	, Krynica-Zdrój	1946	1964					Poland				
Franciszek Kukla	Franciszek Kukla	Bytom, Poland	1966	1989					Poland				
Mirosław Tomasik	Mirosław Tomasz Tomasik	Skawina, Poland	1987	2000					POL		Polish		
Trey Fix-Wolansky	Trey Kieren Fix-Wolansky	Edmonton, Canada	2019		204th overall	2018	Columbus Blue Jackets	National Hockey League		New York Rangers			
Adam Beckman	Adam Beckman	Saskatoon, Canada	2020		75th overall	2019	Minnesota Wild	National Hockey League	&lt;!--Seniors caps only--&gt;	New York Islanders	Canadian		
Artemi Kniazev	Artemi Yurevich Kniazev	Kazan, Russia	2020		48th overall	2019	San Jose Sharks	Kontinental Hockey League		Ak Bars Kazan	Russian		
David Hoogsteen	David Hoogsteen	Thunder Bay, Canada	1995	2004			}}				Canadian		
Chase Priskie	Chase Evans Priskie	Pembroke Pines, Florida, U.S.	2019		177th overall	2016	Washington Capitals	Kontinental Hockey League		HC Sibir Novosibirsk	American		
Marc Robitaille (ice hockey)	Marc Robitaille	, Ontario	1996	2000			}}				Canadian		
Kirk Daubenspeck	Kirk Daubenspeck	, Wisconsin	1993	2006	151st overall	1992	Philadelphia Flyers				American		
Joel Hofer	Joel Hofer	Winnipeg, Canada	2019		107th overall	2018	St. Louis Blues	National Hockey League	CAN	St. Louis Blues	Canadian		
Ian Scott (ice hockey)	Ian Scott	Calgary, Canada	2017	2022	110th overall	2017	Toronto Maple Leafs		&lt;!--Senior only--&gt;		Canadian		
Mike Harder	Michael J. Harder	Winnipeg, Canada	1993	2010							Canadian		
Jason Bowen (ice hockey)	Jason Bowen	, British Columbia	1993	2006	15th overall	1992	Philadelphia Flyers				Canadian		
Kris King	Kristopher King	Bracebridge, Ontario, Canada	1987	2000	80th overall	1984	Washington Capitals				Canadian		
Sheldon Keefe	Sheldon Keefe	Brampton, Canada	2000	2004	47th overall	1999	Tampa Bay Lightning				Canadian		
Don Waddell	Donald Douglas Waddell	Detroit, U.S.	1980	1988	111th overall	1978	Los Angeles Kings		USA		American		
John Tavares	John Tavares	Mississauga, Ontario, Canada	2009		1st overall	2009	New York Islanders	National Hockey League	CAN	Toronto Maple Leafs	Canadian		
Mārtiņš Karsums	Mārtiņš Karsums	Riga, Latvian Soviet Socialist Republic	2000		64th overall	2004	Boston Bruins	Tipos Extraliga	LVA	MHk 32 Liptovský Mikuláš	Latvian		
Glen Brydson	Glenn Warren &quot;Swampy&quot; Brydson	, Toronto	1930	1942									
Joe Lamb	Joseph Gordon Lamb	Sussex, New Brunswick, Canada	1927	1940									
Pete Kelly (ice hockey)	Peter Cameron Kelly	, Winnipeg	1934	1942									
Ossie Asmundson	Oscar Ingolfur Asmundson	Markerville, Canada	1928	1945									
Earl Roche	Earl Joseph Roche	Prescott, Ontario, Canada	1930	1942									
Vic Ripley	Victor Merrick Ripley	Rideau Lakes, Ontario, Canada	1925	1944									
Nick Wasnie	Nickolas Waesne	Winnipeg, Canada	1925	1940									
Gerry Shannon	Gerald Edward &quot;River&quot; Shannon	Campbellford, Canada	1933	1940									
Ralph Bowman	Ralph Blaylock &quot;Scotty&quot; Bowman	Winnipeg, Canada	1933	1943									
Vernon Ayres	Thomas Vernon Ayres												
Fido Purpur	Clifford Joseph &quot;Fido&quot; Purpur	Grand Forks, North Dakota, U.S.	1933	1947									
Mickey Blake	Francis Joseph &quot;Mickey&quot; Blake	, Ontario	1932	1943									
Ted Graham (ice hockey)	William Edward Dixon Graham												
Irv Frew	Irvine Bell Frew	Kilsyth, United Kingdom of Great Britain and Ireland	1926	1941				National Hockey League					
Gene Carrigan	Eugene Carrigan	Edmonton, Canada	1926	1942									
George Patterson (ice hockey)	George Franklin &quot;Paddy&quot; Patterson	Kingston, Ontario, Canada	1926	1945									
Bud Cook	Alexander Leone Lally &quot;Bud&quot; Cook	, Ontario	1928	1947									
Des Roche	Desmond Michael Patrick &quot;Desse&quot; Roche	, Kemptville	1930	1939									
Archie Wilcox	Archibald Thomas Bartlett Wilcox	Montreal, Canada	1927	1935									
Ralph Warburton	Ralph Arthur Warburton	Cranston, Rhode Island, U.S.	1943	1955					USA				
Yekaterina Smolentseva	Yekaterina Vyachslavovna Smolentseva	Pervouralsk, Soviet Union	1996	2017					RUS		Russian		f
Mari Pehkonen	Mari Heini Emilia Pehkonen	Tampere, Finland	1999	2010					FIN		Finnish		f
Nina Tikkinen	Nina Minttu Maria Tikkinen	, Finland	2003	2015					FIN		Finnish		f
Minttu Tuominen	Minnamari &quot;Minttu&quot; Tuominen	Helsinki, Finland	2006	2025					FIN		Finnish		f
Florence Schelling	Florence Isabelle Schelling	Zürich, Switzerland	2005	2018					SUI				f
Nate Kiser	[[American Hockey League|AHL]]	, Michigan	2003	2011	160th overall	2000	Phoenix Coyotes				American		
Lesley Reddon	Lesley Joanne Reddon	North York, Canada	1989	1998				Independent&lt;br /&gt;Canadian Interuniversity Sport	CAN	Maritime Sports Blades&lt;br /&gt;Toronto Lady Blues women's ice hockey team			f
Karen Nystrom	Karen Nystrom	, Toronto	1985	2003				COWHL&lt;br /&gt;&lt;br /&gt;Hockey East&lt;br /&gt;NWHL	CAN	Toronto Red Wings&lt;br /&gt;Newtonbrook Panthers&lt;br /&gt;Northeastern Huskies women's ice hockey			f
Dale Weise	Dale Kenton Weise	Winnipeg, Canada	2008	2022	111th overall	2008	New York Rangers				Canadian		
Craig Cunningham	Craig Alvin Cunningham	Trail, British Columbia, Canada	2011	2016	97th overall	2010	Boston Bruins				Canadian		
Lauren Bench	Lauren Bench	Eagan, Minnesota, U.S.	2017					Professional Women's Hockey League		Minnesota Frost	American		f
Andy Welinski	Andrew Philip Welinski	Duluth, Minnesota, U.S.	2016		83rd overall	2011	Anaheim Ducks			Free agent	American		
Ben Acton	Benjamin Maxwell Acton II	, Victoria											
Anthony Camara	Anthony Camara	, Toronto	2013		81st overall	2011	Boston Bruins	Kontinental Hockey League		Free agent	Canadian		
Damon Severson	Damon Severson	, Manitoba	2013		60th overall	2012	New Jersey Devils	National Hockey League	CAN	Columbus Blue Jackets	Canadian		
Emerance Maschmeyer	Emerance Maschmeyer-Lacasse	Bruderheim, Canada	2012					Professional Women's Hockey League	CAN	PWHL Vancouver			f
Marsh Ryman	Marshall W. &quot;Marsh&quot; Ryman												
David Petrasek	[[Kontinental Hockey League|KHL]]	Jönköping, Sweden	1994	2016	226th overall	1998	Detroit Red Wings		SWE		Swedish		
Peter Sturgeon	Peter Sturgeon	Whitehorse, Canada	1974	1981	36th overall	1974	Boston Bruins				Canadian		
Zac Boyer	Zachary Jason Boyer	Inuvik, Canada	1992	2003	88th overall	1991	Chicago Blackhawks				Canadian		
Vic Mercredi	Victor Dennis Mercredi	Yellowknife, Canada	1969	1980	16th overall	1973	Atlanta Flames				Canadian		
Greg Vaydik	Gregory Brooks Vaydik	Yellowknife, Canada	1975	1982	7th overall	1975	Chicago Black Hawks				Canadian		
Keith Hanson	Keith Francis Hanson	Ada, Minnesota, U.S.	1981	1985	145th overall	1977	Minnesota North Stars		USA		American		
David Haas (ice hockey)	David Haas	Toronto, Canada	1988	2004	105th overall	1986	Edmonton Oilers				Canadian		
Petteri Lindbohm	Petteri Lindbohm	Helsinki, Finland	2012		176th overall	2012	St. Louis Blues	Liiga	Finland	HIFK Hockey	Finnish		
Dave Burrows	David James Burrows	Toronto, Canada	1969	1981							Canadian		
Tim Sestito	Tim Sestito	Rome, New York, U.S.	2005	2017	Undrafted						American		
Vincent Riendeau	Vincent Joseph Riendeau	Saint-Hyacinthe, Quebec, Canada	1987	2001	''Undrafted''						Canadian		
Brett Festerling	Brett Festerling	Quesnel, British Columbia, Canada	2007		Undrafted					Free Agent	Canadian		
Renato Tosio	Renato Tosio	Wil, Switzerland	1980	2001					SUI				
Werner Lorenz (ice hockey)	Werner Lorenz	Ludwigshafen, Germany	1952	1971				Eishockey-Bundesliga		Adler Mannheim			
Aleksei Frolikov	Aleksei Viktorovich Frolikov	Moscow, Russian SFSR	1978	1995					Latvia				
Errol Thompson (ice hockey)	Loran Errol Thompson	, Prince Edward Island	1970	1981	22nd overall	1970	Toronto Maple Leafs				Canadian		
Larry Zeidel	Lazarus &quot;Larry The Rock&quot; Zeidel	, Montreal	1947	1968									
Jay Mazur	Jay Mazur	, Ontario	1987	2001	230th overall	1983	Vancouver Canucks				Canadian		
George Mara	George Edward Mara	Toronto, Canada											
Dan Kordic	Daniel Kordic	Edmonton, Canada	1991	1999	88th overall	1990	Philadelphia Flyers				Canadian		
Dan McGillis	Daniel Stewart McGillis	, Ontario	1996	2010	238th overall	1992	Detroit Red Wings		CAN				
Frank Bathe	Francis Leonard Bathe	Oshawa, Canada	1974	1984	''Undrafted''						Canadian		
Risto Siltanen	Risto Siltanen	Mänttä, Finland	1976	1997	173rd overall	1978	St. Louis Blues				Finnish		
Rikard Franzén	Rikard Franzén	Huddinge, Sweden	1987	2005									
Paul-André Cadieux	Paul-Andre Cadieux	, Ottawa	1970	1990					SUI				
